,t_ArticleName,t_Url,t_DOI,t_PublishedDate,t_SourceTitle,t_Authors,t_Type,t_Keyword1,t_Keyword2,t_ID
65,Percutaneous Endovascular Treatment of a Brachial Artery Aneurysm,http://www.sciencedirect.com/science/article/pii/S1533316703000669/pdfft?md5=2a0658e85dd0f74d51c8668df6584ce9&pid=1-s2.0-S1533316703000669-main.pdf,10.1016/S1533-3167(03)00066-9,7/31/03,EJVES Extra,M. Maynar & E. Sanchez-Alvarez & Z. Qian & R. LÃ_pez-Benitez & I. Zerolo-Saez,Short communication,Blunt trauma,Ultrasound,155879
66,Complications infectieuses fatales chez deux patients atteints de maladie de Still de l'adulte,http://www.sciencedirect.com/science/article/pii/0248866396837416/pdfft?md5=36084d9b93a16e124afce035fdce8b3d&pid=1-s2.0-0248866396837416-main.pdf,10.1016/0248-8663(96)83741-6,5/31/96,La Revue de MÃ©decine Interne,M Michel & G Hayem & AC Rat & O Meyer & MF Kahn,Short communication,Disseminated intravascular coagulation,(LDH),168134
67,Endometrial carcinoma associated with Sheehan's syndrome and stilbestrol therapy,http://www.sciencedirect.com/science/article/pii/0002937874900441/pdfft?md5=6d06d0df1462f5985915f35e74e78037&pid=1-s2.0-0002937874900441-main.pdf,10.1016/0002-9378(74)90044-1,5/15/74,American Journal of Obstetrics and Gynecology,Duncan E. Reid & Robert L. Shirley,Short communication,Hemorrhagic shock,Pathologic,317728
68,"Pregnancy Loss, Bereavement, and Conscientious Objection in Perioperative Services",http://www.sciencedirect.com/science/article/pii/S108994721830131X/pdfft?md5=101e00a7cd1beede30b248f808d02e1a&pid=1-s2.0-S108994721830131X-main.pdf,10.1016/j.jopan.2018.05.005,8/31/18,Journal of PeriAnesthesia Nursing,Anita Catlin,Short communication,Disseminated intravascular coagulation,(NO),254435
69,"A comparison of aggressive and foraging behaviour between juvenile cutthroat trout, rainbow trout and F1 hybrids",http://www.sciencedirect.com/science/article/pii/S0003347207003557/pdfft?md5=93e863c314b1604f5c9776f6313fb9dd&pid=1-s2.0-S0003347207003557-main.pdf,10.1016/j.anbehav.2007.03.025,12/31/07,Animal Behaviour,Steven M. Seiler & Ernest R. Keeley,Research article,Blunt trauma,Temperature,131680
70,Cross-Enzyme Inhibition by Gabexate Mesylate: Formulation and Reactivity Study,http://www.sciencedirect.com/science/article/pii/S0022354915506722/pdfft?md5=3e4217c6b08f12be16addd38b05aba0c&pid=1-s2.0-S0022354915506722-main.pdf,10.1021/js980079u,11/30/98,Journal of Pharmaceutical Sciences,Rita Cortesi & Paolo Ascenzi & Marco Colasanti & Tiziana Persichini & Enea Menegatti,,Disseminated intravascular coagulation,Nitric oxide,279579
71,Emergency caesarean section,http://www.sciencedirect.com/science/article/pii/S1878788616301540/pdfft?md5=d3d6b97ab7794f4f8cb4a41b2ec32866&pid=1-s2.0-S1878788616301540-main.pdf,10.1016/j.jviscsurg.2016.09.012,2/28/17,Journal of Visceral Surgery,M. Gosset & A. Ilenko & J. Bouyou & B. Renevier,Short communication,Hemorrhagic shock,(NO),230996
72,Survival after endovascular therapy in patients with ruptured thoracic aortic diseases: Results from the Global Registry for Endovascular Aortic Treatment Registry,http://www.sciencedirect.com/science/article/pii/S0741521420302949/pdfft?md5=531562ebd6f8bc80ab53c3df86d06930&pid=1-s2.0-S0741521420302949-main.pdf,10.1016/j.jvs.2020.02.022,4/8/20,Journal of Vascular Surgery,Kenneth Walsh & David J. O'Connor & Fred Weaver & Santi Trimarchi & Gregory Simonian,Research article,Hemorrhagic shock,(NO),230201
73,Reestablishment of Male Sexual Function and Appearance 23 Years After Alligator Induced Traumatic Orchiectomy and Penile Lacerations,http://www.sciencedirect.com/science/article/pii/S0022534701673580/pdfft?md5=671e75239bb9bc8a7fa2d4eeaa1ce4db&pid=1-s2.0-S0022534701673580-main.pdf,10.1016/S0022-5347(01)67358-0,6/30/95,The Journal of Urology,Nachum M. Katlowitz & Arie Fliescher & Alexandru E. Benet,Short communication,Blunt trauma,Testing,104299
74,American College of Surgeons Comprehensive Education Institute: Hartford Hospital,http://www.sciencedirect.com/science/article/pii/S1931720410001340/pdfft?md5=b616c7460e1279594754dd88924bb95e&pid=1-s2.0-S1931720410001340-main.pdf,10.1016/j.jsurg.2010.05.022,10/31/10,Journal of Surgical Education,Lenworth M. Jacobs & Karyl J. Burns,Research article,Blunt trauma,Ultrasound,153942
75,Modification of the wound construction to prevent dehiscence of radial keratotomy incision in cataract surgery: Wave-shaped scleral incision,http://www.sciencedirect.com/science/article/pii/S0886335017301700/pdfft?md5=d028ccf5f0f41733b20d9ed51c7b9ddb&pid=1-s2.0-S0886335017301700-main.pdf,10.1016/j.jcrs.2017.04.001,4/30/17,Journal of Cataract & Refractive Surgery,Haiying Jin & Qi Zhang & Peiquan Zhao,Short communication,Blunt trauma,Testing,105377
76,Role of bone marrow macrophages in controlling homeostasis and repair in bone and bone marrow niches,http://www.sciencedirect.com/science/article/pii/S1084952116302476/pdfft?md5=5dab9845ee7abc0ea16ad56d002e6c49&pid=1-s2.0-S1084952116302476-main.pdf,10.1016/j.semcdb.2016.08.009,1/31/17,Seminars in Cell & Developmental Biology,Simranpreet Kaur & Liza Jane Raggatt & Lena Batoon & David Arthur Hume & Allison Robyn Pettit,Review article,Blood loss,Neutrophils,21287
77,"Violence related injuries, deaths and disabilities in the capital of Honduras",http://www.sciencedirect.com/science/article/pii/S0020138305004717/pdfft?md5=5299219c5a699f27798ca57f9f30ce39&pid=1-s2.0-S0020138305004717-main.pdf,10.1016/j.injury.2005.12.001,5/31/06,Injury,Sophie Yacoub & Sergio Arellano & Dennis Padgett-Moncada,Research article,Blunt trauma,Risk factors,11706
78,Contents,http://www.sciencedirect.com/science/article/pii/S2468428718301503/pdfft?md5=76367abd5c7a2531bf706112c280f9c7&pid=1-s2.0-S2468428718301503-main.pdf,10.1016/S2468-4287(18)30150-3,12/31/18,Journal of Vascular Surgery Cases and Innovative Techniques,CANNOT GET ACCESS,,Disseminated intravascular coagulation,Immunoglobulins,56756
79,Contents volume 15 (1987),http://www.sciencedirect.com/science/article/pii/0300957287900116/pdfft?md5=4784bb5a8f3bb600ed0ec7fca19de7a9&pid=1-s2.0-0300957287900116-main.pdf,10.1016/0300-9572(87)90011-6,12/31/87,Resuscitation,CANNOT GET ACCESS,,Hemorrhagic shock,Parameters,307444
80,Genesis of severe placental abruption,http://www.sciencedirect.com/science/article/pii/0002937870901997/pdfft?md5=d1e3818edaf6dd3d3f81cdb6a847d003&pid=1-s2.0-0002937870901997-main.pdf,10.1016/0002-9378(70)90199-7,9/1/70,American Journal of Obstetrics and Gynecology,Jack A. Pritchard,Research article,Blood loss,Neutrophils,21926
81,Permanent sensory nerve impairment following third molar surgery: a prospective study,http://www.sciencedirect.com/science/article/pii/S1079210406000291/pdfft?md5=682796d43d240859b6e932ddc447d559&pid=1-s2.0-S1079210406000291-main.pdf,10.1016/j.tripleo.2006.01.016,10/31/06,"Oral Surgery, Oral Medicine, Oral Pathology, Oral Radiology, and Endodontology",W. Jerjes & B. Swinson & D. R. Moles & M. El-Maaytah & C. Hopper,Research article,Blunt trauma,Temperature,131523
82,Issue Contents,http://www.sciencedirect.com/science/article/pii/S0248866316310268/pdfft?md5=5482b0987b697428c3e347f7e5f275d7&pid=1-s2.0-S0248866316310268-main.pdf,10.1016/S0248-8663(16)31026-8,1/31/17,La Revue de MÃ©decine Interne,CANNOT GET ACCESS,,Hemorrhagic shock,(NO),231713
83,Rhegmatogenous Retinal Detachment after Molteno Glaucoma Implant Surgery,http://www.sciencedirect.com/science/article/pii/S0161642094312802/pdfft?md5=7abdcba4ee7082e61135622e2803fb27&pid=1-s2.0-S0161642094312802-main.pdf,10.1016/S0161-6420(94)31280-2,4/30/94,Ophthalmology,William J. Waterhouse & Mary Ann E. Lloyd & Pravin U. Dugel & Dale K. Heuer & Peter E. Liggett,Research article,Blunt trauma,Ultrasound,157563
84,Homograft aortic root replacement in native or prosthetic active infective endocarditis: Twenty-year single-center experience,http://www.sciencedirect.com/science/article/pii/S0022522309009398/pdfft?md5=d8be9297019e152dedb5690ba8a7ac38&pid=1-s2.0-S0022522309009398-main.pdf,10.1016/j.jtcvs.2009.07.026,3/31/10,The Journal of Thoracic and Cardiovascular Surgery,Michele Musci & Yuguo Weng & Michael HÃ_bler & Aref Amiri & Roland Hetzer,Research article,Hemorrhagic shock,Diagnosis,33060
85,Critical evaluation of the Minnesota Maternal Mortality study,http://www.sciencedirect.com/science/article/pii/0002937854904639/pdfft?md5=f7c5ccb57a250bd5fa01dd9642c8be4a&pid=1-s2.0-0002937854904639-main.pdf,10.1016/0002-9378(54)90463-9,7/31/54,American Journal of Obstetrics and Gynecology,J. L. McKelvey & D. W. Freeman,Research article,Hemorrhagic shock,Diagnostic,48105
86,Contents,http://www.sciencedirect.com/science/article/pii/S0039606012004278/pdfft?md5=52705bac285762a4fbbaf8c660a4d63e&pid=1-s2.0-S0039606012004278-main.pdf,10.1016/S0039-6060(12)00427-8,9/30/12,Surgery,CANNOT GET ACCESS,,Hemorrhagic shock,Marker,195422
87,Editorial Board,http://www.sciencedirect.com/science/article/pii/0002939489902201/pdfft?md5=0afbfb513c871f2fdd550fc02b1d5977&pid=1-s2.0-0002939489902201-main.pdf,10.1016/0002-9394(89)90220-1,2/28/89,American Journal of Ophthalmology,CANNOT GET ACCESS,,Blunt trauma,Risk factors,11689
88,Use of an ethanol lock to prevent catheter-related infections in children with short bowel syndrome,http://www.sciencedirect.com/science/article/pii/S0022346808001632/pdfft?md5=ff8623901b65fe1db20eaf44f0d96bab&pid=1-s2.0-S0022346808001632-main.pdf,10.1016/j.jpedsurg.2008.02.026,6/30/08,Journal of Pediatric Surgery,Elisabeth Mouw & Katherine Chessman & Aaron Lesher & Edward Tagge,Research article,Disseminated intravascular coagulation,(NO),254097
89,Condensed Contents,http://www.sciencedirect.com/science/article/pii/S0022522312003819/pdfft?md5=da157125e857c79b89da367ca1c0e253&pid=1-s2.0-S0022522312003819-main.pdf,10.1016/S0022-5223(12)00381-9,5/31/12,The Journal of Thoracic and Cardiovascular Surgery,CANNOT GET ACCESS,,Blood loss,Neutrophils,20250
90,Puerperal inversion of the uterus,http://www.sciencedirect.com/science/article/pii/0002937848901963/pdfft?md5=00356c7cc5b405b7a667e8ff65003b2a&pid=1-s2.0-0002937848901963-main.pdf,10.1016/0002-9378(48)90196-3,7/31/48,American Journal of Obstetrics and Gynecology,Harold Henderson & Russell W. Alles,Research article,Hemorrhagic shock,Hemoglobin,95361
91,Development of New Retinal Breaks,http://www.sciencedirect.com/science/article/pii/S1529183905001533/pdfft?md5=c1fa4d05becfd9065da310e984d466de&pid=1-s2.0-S1529183905001533-main.pdf,10.1016/j.optm.2005.09.001,10/31/05,Optometry - Journal of the American Optometric Association,Andrew S. Gurwood,,Blunt trauma,Risk factors,10828
92,"A scanning electron microscopic study of 34 cases of acute granulocytic, myelomonocytic, monoblastic and histiocytic leukemia",http://www.sciencedirect.com/science/article/pii/0002934375903885/pdfft?md5=11d0fa8e451af1eae3e1463e7f3fd870&pid=1-s2.0-0002934375903885-main.pdf,10.1016/0002-9343(75)90388-5,9/30/75,The American Journal of Medicine,Aaron Polliack & Susan McKenzie & Timothy Gee & Nina Lampen & Bayard D. Clarkson,Research article,Disseminated intravascular coagulation,Neutrophils,212226
93,The influence of the nature of the prime on postperfusion pulmonary changes,http://www.sciencedirect.com/science/article/pii/S0022522319405709/pdfft?md5=1be872bdcd4d8948f5b96626fad7be7f&pid=1-s2.0-S0022522319405709-main.pdf,10.1016/S0022-5223(19)40570-9,11/30/73,The Journal of Thoracic and Cardiovascular Surgery,R. C. Rabelo & S. A. Oliveira & H. Tanaka & D. R. Weigl & E. J. Zerbini,Research article,Hemorrhagic shock,Parameters,309172
94,Primary Mediastinal Neoplasms in Infants and Children,http://www.sciencedirect.com/science/article/pii/S0003497510651119/pdfft?md5=13e23681c0a7cdee6b286e67ac218a4c&pid=1-s2.0-S0003497510651119-main.pdf,10.1016/S0003-4975(10)65111-9,8/31/71,The Annals of Thoracic Surgery,Jay L. Grosfeld & Malvin Weinberger & James W. Kilman & H. William Clatworthy,Research article,Hemorrhagic shock,Diagnostic,48356
95,<ce:markerÂ name=ceÂ alt=Continuing EducationÂ altimg-small=ce_s.gifÂ altimg=ce_o.gif></ce:marker>Clinical Issues,http://www.sciencedirect.com/science/article/pii/S0001209214009685/pdfft?md5=13e14aa6efcb84e16af20c6585900d0e&pid=1-s2.0-S0001209214009685-main.pdf,10.1016/j.aorn.2014.09.002,12/31/14,AORN Journal,Lisa Spruce & Sharon A. Van Wicklin & Scott A. Brubaker,Short communication,Blunt trauma,Temperature,131098
96,Secondary hypocapnia fails to protect â€œwhole bodyâ€ù intracellular pH during chronic HCl-acidosis in the dog,http://www.sciencedirect.com/science/article/pii/S0085253815328945/pdfft?md5=411ad27a29e0f3d745ad65b127fe021c&pid=1-s2.0-S0085253815328945-main.pdf,10.1038/ki.1983.24,2/28/83,Kidney International,David D. Clark & Bruce S. Chang & Serafino G. Garella & Jordan J. Cohen & Nicolaos E. Madias,Research article,Hemorrhagic shock,Potassium,292159
97,"Prehospital care of the pulseless, nonbreathing pediatric patient",http://www.sciencedirect.com/science/article/pii/0735675787903834/pdfft?md5=5935d78e89c51b1ed1402bf1cd4efde8&pid=1-s2.0-0735675787903834-main.pdf,10.1016/0735-6757(87)90383-4,9/30/87,The American Journal of Emergency Medicine,Joseph D. Losek & Halim Hennes & Peter Glaeser & Gail Hendley & David B. Nelson,Research article,Blunt trauma,Sodium,24658
98,Human MxA protein inhibits the replication of classical swine fever virus,http://www.sciencedirect.com/science/article/pii/S0168170211000244/pdfft?md5=ef1d60a6cd9b501de7f4b0923cd2e523&pid=1-s2.0-S0168170211000244-main.pdf,10.1016/j.virusres.2011.01.008,3/31/11,Virus Research,Yicheng Zhao & Daxin Pang & Tiedong Wang & Xin Yang & Hongsheng Ouyang,Short communication,Disseminated intravascular coagulation,IgG,89124
99,Vascular replacements and reconstruction utilizing inert material,http://www.sciencedirect.com/science/article/pii/0002961055904876/pdfft?md5=72ed2ab819ba6853e2f27c681a0b8882&pid=1-s2.0-0002961055904876-main.pdf,10.1016/0002-9610(55)90487-6,6/30/55,The American Journal of Surgery,Edgar J. Poth & John H. Childers & Joseph K. Johnson & Robert S. Guy,Research article,Blood loss,Neutrophils,22632
100,"The anatomy, genesis, and clinical considerations of placenta accreta",http://www.sciencedirect.com/science/article/pii/S0002937828910765/pdfft?md5=0421283aaf4c270b56ae35b2b6dee1f8&pid=1-s2.0-S0002937828910765-main.pdf,10.1016/S0002-9378(28)91076-5,7/31/28,American Journal of Obstetrics and Gynecology,Joseph N. Nathanson,Research article,Hemorrhagic shock,Pathologic,318281
101,"Cutaneous capillary hemangiomas of the eyelid, scalp, and digits in premature triplets",http://www.sciencedirect.com/science/article/pii/S0002939499004729/pdfft?md5=3dc8de6e4aab75a6f1fbd8b66b62c199&pid=1-s2.0-S0002939499004729-main.pdf,10.1016/S0002-9394(99)00472-9,4/30/00,American Journal of Ophthalmology,Carol L Shields & Jerry A Shields & Ronald Minzter & Arun D Singh,Short communication,Disseminated intravascular coagulation,Marker,180399
102,Tumeurs kystiques rÃ©tropÃ©ritonÃ©ales compliquÃ©es rÃ©vÃ©latrices dâ€™une lymphangiolÃ©iomyomatose,http://www.sciencedirect.com/science/article/pii/S0021769709000192/pdfft?md5=d370027eaba899b8e8e9c4a01bcb7e1e&pid=1-s2.0-S0021769709000192-main.pdf,10.1016/j.jchir.2009.03.007,2/28/09,Journal de Chirurgie,L. Barbier & M. Ebbo & L. Andrac-Meyer & N. Schneilitz & J. Hardwigsen,Short communication,Hemorrhagic shock,Pathologic,315791
103,Acute and subacute toxicity of cytochalasin E in the rat,http://www.sciencedirect.com/science/article/pii/0041008X75902045/pdfft?md5=26841525c6e05fa7ca51df556a5991c0&pid=1-s2.0-0041008X75902045-main.pdf,10.1016/0041-008X(75)90204-5,4/30/75,Toxicology and Applied Pharmacology,Thirayudh Glinsukon & Ronald C. Shank & Gerald N. Wogan & Paul M. Newberne,Research article,Hemorrhagic shock,Lymphocytes,174716
104,Sickle cell disease in pregnancy,http://www.sciencedirect.com/science/article/pii/S0957584706001235/pdfft?md5=ff9fda87f88ee16c68f512f314fee954&pid=1-s2.0-S0957584706001235-main.pdf,10.1016/j.curobgyn.2006.09.006,12/31/06,Current Obstetrics & Gynaecology,Eugene Oteng-Ntim & Charlotte Cottee & Susan Bewley & Elizabeth N. Anionwu,Research article,Blood loss,Neutrophils,20429
105,The effectiveness and complications of abortion by dilatation and vacuum aspiration versus dilatation and rigid metal curettage,http://www.sciencedirect.com/science/article/pii/000293787490204X/pdfft?md5=194b54a1da0c726ef212e2a14aa249dc&pid=1-s2.0-000293787490204X-main.pdf,10.1016/0002-9378(74)90204-X,6/15/74,American Journal of Obstetrics and Gynecology,David A. Edelman & William E. Brenner & Gary S. Berger,Research article,Hemorrhagic shock,Diagnosis,34039
106,Safe motherhood: the FIGO initiative,http://www.sciencedirect.com/science/article/pii/S0020729203002182/pdfft?md5=e4b631ebc14e2f604b2654b20fcbc546&pid=1-s2.0-S0020729203002182-main.pdf,10.1016/S0020-7292(03)00218-2,9/30/03,International Journal of Gynecology & Obstetrics,G. Benagiano & B. Thomas,Research article,Hemorrhagic shock,Parameters,308141
107,Complete Penile Amputation During Ritual Neonatal Circumcision and Successful Replantation Using Postoperative Leech Therapy,http://www.sciencedirect.com/science/article/pii/S0090429514003902/pdfft?md5=1ccb84180183858aeeb2ebb0e1ed0376&pid=1-s2.0-S0090429514003902-main.pdf,10.1016/j.urology.2014.04.021,8/31/14,Urology,Omaya I. Banihani & Janelle A. Fox & Brian H. Gander & Lorelei J. Grunwaldt & Glenn M. Cannon,Short communication,Hemorrhagic shock,Platelets,285102
108,Immediate puerperal death: An analysis of 318 maternal deaths occurring within twenty-four hours of the delivery of a viable infant,http://www.sciencedirect.com/science/article/pii/S0002937841911948/pdfft?md5=b1016e9779fea38b4d62648add046ac7&pid=1-s2.0-S0002937841911948-main.pdf,10.1016/S0002-9378(41)91194-8,2/28/41,American Journal of Obstetrics and Gynecology,Henry D. Lafferty,Research article,Hemorrhagic shock,(NO),230309
109,Listeriosis of the placenta: Clinicopathologic study of seven cases,http://www.sciencedirect.com/science/article/pii/000293789390632S/pdfft?md5=714a3a96347c671c3f17d47733633009&pid=1-s2.0-000293789390632S-main.pdf,10.1016/0002-9378(93)90632-S,9/30/93,American Journal of Obstetrics and Gynecology,Margarita Topalovski & S. Samuel Yang & Yaowalug Boonpasat,Research article,Blood loss,Neutrophils,21508
110,What is the status of therapeutic abortion in modern obstetrics?,http://www.sciencedirect.com/science/article/pii/0002937853905699/pdfft?md5=7e8b28fc77b847a527262e36fa9a7df1&pid=1-s2.0-0002937853905699-main.pdf,10.1016/0002-9378(53)90569-9,8/31/53,American Journal of Obstetrics and Gynecology,Roy J. Heffernan & William A. Lynch,Research article,Hemorrhagic shock,Diagnosis,34260
111,The use of blood transfusions in obstetrics,http://www.sciencedirect.com/science/article/pii/0002937865902905/pdfft?md5=fbdae581f47f85fde818429d16f5b69d&pid=1-s2.0-0002937865902905-main.pdf,10.1016/0002-9378(65)90290-5,9/1/65,American Journal of Obstetrics and Gynecology,Charles E. Gibbs & Harold R. Misenhimer,Research article,Hemorrhagic shock,Hemoglobin,95103
112,Hysteroscopic Resection of Uterine Submucous Leiomyoma Protruding through Hymen in a 16-Year-Old Adolescent,http://www.sciencedirect.com/science/article/pii/S1083318810002196/pdfft?md5=69e79bb43bddb12cf035ef2f8ec76e70&pid=1-s2.0-S1083318810002196-main.pdf,10.1016/j.jpag.2010.08.001,6/30/11,Journal of Pediatric and Adolescent Gynecology,Salih TaÅŸkÄ±n & Murat SÃ¶nmezer & Korhan Kahraman & Cem AtabekoÄŸlu,Short communication,Hemorrhagic shock,(NO),232346
113,Acute non-lymphocytic leukemia is not a major type of childhood leukemia in Japan,http://www.sciencedirect.com/science/article/pii/0277537989902101/pdfft?md5=1883eef80dd913ba20bcd457362ce47c&pid=1-s2.0-0277537989902101-main.pdf,10.1016/0277-5379(89)90210-1,4/30/89,European Journal of Cancer and Clinical Oncology,Fumio Bessho,Research article,Disseminated intravascular coagulation,Marker,181530
114,Total pancreatectomy for ductal carcinoma of the head of the pancreas: Current status,http://www.sciencedirect.com/science/article/pii/0002961076900209/pdfft?md5=3fa62efaccb6b57455743dea5bd38b9e&pid=1-s2.0-0002961076900209-main.pdf,10.1016/0002-9610(76)90020-9,5/31/76,The American Journal of Surgery,Javier Castellanos & Guillermo Manifacio & Richard C. Lillehei & Clayton H. Shatney,Short communication,Hemorrhagic shock,Pathologic,318311
115,The Incidence of Retinal Detachment Following Extracapsular Cataract Extraction: A Ten-year Study,http://www.sciencedirect.com/science/article/pii/S016164208533899X/pdfft?md5=e623e72f06adfd6abf945ab4c238714a&pid=1-s2.0-S016164208533899X-main.pdf,10.1016/S0161-6420(85)33899-X,8/31/85,Ophthalmology,Patrick Coonan & Wayne E. Fung & Robert G. Webster & Arthur W. Allen & Richard L. Abbott,Research article,Blunt trauma,Risk factors,12279
116,Medico-legal significance of the identification of offending snake in a fatal snake bite: A case report,http://www.sciencedirect.com/science/article/pii/S1752928X13002461/pdfft?md5=4cfe119e121f9adc8b53ab21b1fbb999&pid=1-s2.0-S1752928X13002461-main.pdf,10.1016/j.jflm.2013.09.009,11/30/13,Journal of Forensic and Legal Medicine,Anjana Silva & Dayal Gamlaksha & Dhananjaya Waidyaratne,Short communication,Disseminated intravascular coagulation,(NO),250941
117,Extrahepatic portal hypertension in children,http://www.sciencedirect.com/science/article/pii/002234687390208X/pdfft?md5=78a5a7db4568bbc0caa96640e28c364c&pid=1-s2.0-002234687390208X-main.pdf,10.1016/0022-3468(73)90208-X,8/31/73,Journal of Pediatric Surgery,N. A. Myers & M. J. Robinson,Research article,Blood loss,Neutrophils,22500
118,Acute Remodeling of Parenchyma in Pulmonary and Extrapulmonary ARDS. An Autopsy Study of Collagen-Elastic System Fibers,http://www.sciencedirect.com/science/article/pii/S0344033804702654/pdfft?md5=607e6e96a96711be6075279fd5a94960&pid=1-s2.0-S0344033804702654-main.pdf,10.1078/0344-0338-00266,12/31/02,Pathology - Research and Practice,Elnara M. Negri & Christiane Hoelz & Carmen S. V. Barbas & Gregorio Santiago Montes & Vera L. Capelozzi,Research article,Hemorrhagic shock,Pathologic,316945
119,Sarcoma of the uterus: A review of thirty-three cases,http://www.sciencedirect.com/science/article/pii/0002937850900068/pdfft?md5=40297e7bd46c5cd0046f7e3672db45e6&pid=1-s2.0-0002937850900068-main.pdf,10.1016/0002-9378(50)90006-8,12/31/50,American Journal of Obstetrics and Gynecology,William F. Finn,Review article,Hemorrhagic shock,Pathologic,318168
120,Electric stimulation and hyperbaric oxygen therapy in the treatment of nonunions,http://www.sciencedirect.com/science/article/pii/S0020138306001021/pdfft?md5=d334d7f6b2fd8d309373a3b80ce20b17&pid=1-s2.0-S0020138306001021-main.pdf,10.1016/j.injury.2006.02.042,4/30/06,Injury,A. E. Karamitros & V. N. Kalentzos & P. N. Soucacos,Research article,Blood loss,Neutrophils,20224
121,How to predict proliferative vitreoretinopathy: A prospective study,http://www.sciencedirect.com/science/article/pii/S016164200100553X/pdfft?md5=c59ef3fdb2f4b9290c5fd235b8379ccf&pid=1-s2.0-S016164200100553X-main.pdf,10.1016/S0161-6420(01)00553-X,7/31/01,Ophthalmology,Riaz Hassan Yusuf Asaria & Chee Hing Kon & Catey Bunce & David G Charteris & George William Aylward,Research article,Blunt trauma,Testing,107147
122,The effect on extrahepatic cancer of hepatic artery ligation: An experimental study in rats with liver tumors,http://www.sciencedirect.com/science/article/pii/0304383583901878/pdfft?md5=3d1e2c9af3d4f122815a21bb3bb59f01&pid=1-s2.0-0304383583901878-main.pdf,10.1016/0304-3835(83)90187-8,8/31/83,Cancer Letters,GÃ¶ran Carlsson & Larsolof HafstrÃ¶m,Research article,Hemorrhagic shock,Pathologic,317962
123,AUTHOR INDEX,http://www.sciencedirect.com/science/article/pii/S0007091217480974/pdfft?md5=56706af77459169989ecdc6069393fa4&pid=1-s2.0-S0007091217480974-main.pdf,10.1093/bja/66.6.739,6/30/91,British Journal of Anaesthesia,CANNOT GET ACCESS,,Blood loss,Neutrophils,22238
124,Endoscopic Approach for Mandibular Orthognathic Surgery,http://www.sciencedirect.com/science/article/pii/S1064740605001094/pdfft?md5=27727c86fef7046835165e877b8fa8d6&pid=1-s2.0-S1064740605001094-main.pdf,10.1016/j.fsc.2005.11.003,2/28/06,Facial Plastic Surgery Clinics of North America,Maria J. Troulis & Jose L. Ramirez & Leonard B. Kaban,Review article,Hemorrhagic shock,(NO),234595
125,"Did Dendritic Cell Activation, Induced by Adenovirus-Antibody Complexes, Play a Role in the Death of Jesse Gelsinger?",http://www.sciencedirect.com/science/article/pii/S1525001620300964/pdfft?md5=a186270526d89be63ba7b514b5bde7ae&pid=1-s2.0-S1525001620300964-main.pdf,10.1016/j.ymthe.2020.02.010,3/4/20,Molecular Therapy,Andrew H. Baker & Roland W. Herzog,,Disseminated intravascular coagulation,(NO),252302
126,Vaginal injury due to coitus,http://www.sciencedirect.com/science/article/pii/0002937856903787/pdfft?md5=6db432071f1afd0790ab681590d6ea25&pid=1-s2.0-0002937856903787-main.pdf,10.1016/0002-9378(56)90378-7,9/30/56,American Journal of Obstetrics and Gynecology,Stewart A. Fish,Research article,Hemorrhagic shock,Diagnosis,34222
127,Childbirth After Organ Transplantation in Hungary,http://www.sciencedirect.com/science/article/pii/S0041134511006038/pdfft?md5=4e9c3105ebce02407a276e90606c2165&pid=1-s2.0-S0041134511006038-main.pdf,10.1016/j.transproceed.2011.03.087,5/31/11,Transplantation Proceedings,Z. Gerlei & D. Wettstein & J. RigÃ_ & L. Asztalos & R. M. Langer,Research article,Disseminated intravascular coagulation,(NO),252249
128,Dieulafoy lesion in a one-year-old child,http://www.sciencedirect.com/science/article/pii/S0022346803007176/pdfft?md5=910c1937cc94aa154652b484c89a9600&pid=1-s2.0-S0022346803007176-main.pdf,10.1016/j.jpedsurg.2003.09.025,1/31/04,Journal of Pediatric Surgery,Christian Lilje & P Greiner & U. N Riede & J Sontheimer & M Brandis,Short communication,Hemorrhagic shock,(NO),232945
129,14P: KEYNOTE-012: A phase Ib study of pembrolizumab (MK-3475) in patients (pts) with metastatic triple-negative breast cancer (mTNBC),http://www.sciencedirect.com/science/article/pii/S0923753419644339/pdfft?md5=57beb0ad5df709f950f459ce501b620b&pid=1-s2.0-S0923753419644339-main.pdf,10.1093/annonc/mdv115.02,5/31/15,Annals of Oncology,L. Buisseret & J. Specht & E. C. Dees & R. Berger & R. Nanda,Research article,Disseminated intravascular coagulation,(NO),253119
130,Myocardial contract ity:non-invasive assessment after cardiac surgery,http://www.sciencedirect.com/science/article/pii/0300957279900236/pdfft?md5=e464d42a6fee196d82f11db3489bedbf&pid=1-s2.0-0300957279900236-main.pdf,10.1016/0300-9572(79)90023-6,12/31/79,Resuscitation,H. J. Boccalon & B. J. Candelon & H. G. Doll & P. F. Puel & A. P. Enjalbert,Research article,Hemorrhagic shock,Parameters,308174
131,"A Prospective, Population-Based Study of the Demographics, Epidemiology, Management, and Outcome of Out-of-Hospital Pediatric Cardiopulmonary Arrest",http://www.sciencedirect.com/science/article/pii/S0196064499703914/pdfft?md5=4a8f621700aa3ecebb7999bae4343c2d&pid=1-s2.0-S0196064499703914-main.pdf,10.1016/S0196-0644(99)70391-4,2/28/99,Annals of Emergency Medicine,Paul E Sirbaugh & Paul E Pepe & Joan E Shook & Kay T Kimball & Denise M Mann,Research article,Blunt trauma,Testing,106289
